start,end,Healthy,Care,Death
0,4,0.7759406637377654,0.1943271109621422,0.029732225300092337
5,9,0.7625424502650585,0.2247560874657559,0.012701462269185549
10,14,0.8020451717267488,0.1836155090558831,0.014339319217368057
15,19,0.8484492261979193,0.14875549104847915,0.0027952827536015545
20,24,0.8176517112914619,0.1505608194210688,0.03178746928746929
25,29,0.7779249983237234,0.17927844252498365,0.04279655915129295
30,34,0.7586233019516664,0.2059366924117523,0.03544000563658133
35,39,0.7405291686855939,0.2221960352773996,0.03727479603700652
40,44,0.7035187424854045,0.25850516632749515,0.03797609118710036
45,49,0.6339412613582304,0.3134897567197907,0.05256898192197907
50,54,0.564172368840544,0.3730504556395979,0.06277717551985813
55,59,0.47535260878753466,0.43473234368954494,0.08991504752292041
60,64,0.3516735781329818,0.47678485475817745,0.17154156710884075
65,69,0.25875871149830265,0.498350107945503,0.24289118055619435
70,74,0.17431164213716574,0.5087797202326833,0.31690863763015104
75,79,0.10555945959610204,0.45565016704725925,0.43879037335663873
80,84,0.07129446164138735,0.34569476717225295,0.5830107711863597
