,beta1,beta2,beta3
01_Diabetes,-4.18e-05,0.001212577,0.006188184
02_Thyroid Disease,4.92e-05,0.000764004,0.000795574
03_Other Metabolic Disorders,2.01e-05,0.002956192,0.017143987
04_Dementia,0.0,0.0,0.00025
05_Parkinson's Disease,8.68e-07,-4.43e-05,0.000188368
06_Depression,0.001032411,0.00295793,0.001410666
07_Eye Diseases,-1.02e-05,0.000664301,0.006824347
08_Ear Diseases,-0.000991645,0.000110934,0.000151287
09_Hypertension,-0.000234472,0.003061058,0.018282128
10_Stroke,-2.91e-06,0.000176608,0.001156847
11_Heart Disease,-8.17e-05,0.000202774,0.001967376
12_Other Cardiovascular Diseases,-0.000249458,0.00018085,0.002026248
13_Acute Nasopharyngitis,-0.002007698,0.000171579,-5.75e-05
14_Allergic Rhinitis,0.001530136,0.000460317,0.000472893
15_Asthma,-0.000487049,0.000470572,0.000441824
16_Other Respiratory Diseases,0.000137804,0.000403785,0.001113875
17_Stomach and Duodenal Diseases,-4.94e-05,0.000352207,0.001329972
18_Liver and Gallbladder Diseases,8.02e-05,5.97e-05,5.28e-05
19_Dental Diseases,0.002771154,0.004600379,0.005730341
20_Other Digestive Diseases,9.03e-06,0.000519825,0.001129023
21_Skin Disease,-0.000453238,0.000741298,-0.000246437
22_Arthritis,-9.05e-05,0.000619874,0.001327731
23_Arthropathy,4.34e-06,0.000562715,0.00164753
24_Other musculoskeletal Pain,0.000579623,0.001738428,0.002985729
25_Bone Density Abnormalities,4.62e-05,1.89e-05,0.002724065
26_Kidney Diseases,1.48e-05,0.000249007,0.000646751
27_Benign Prostatic Hyperplasia,3.43e-05,-1.54e-05,0.001468484
28_Fractures,0.000304573,-3.93e-05,0.000416242
29_Other Injuries,0.000707164,-0.000111542,7.11e-05
30_Anemia and Blood Disorders,-1.6e-05,0.000454313,0.000320374
31_Cancer,-6.41e-05,0.000587741,0.001899174
32_Pregnancy and Childbirth,1.85e-05,-0.000277778,4.63e-05
33_Other Conditions,0.000397894,0.000958624,-0.001707724
34_Care Recipient,-4.41e-05,0.000894391,0.00368819
