start_year,end_year,kh_kid,kh_young,kh_older,kc_kid,kc_young,kc_older
1955,1960,0.0023,0.0091,0.035,0.026,0.066,0.204
1960,1965,0.002,0.0073,0.043,0.0036,0.022,0.133
1965,1970,0.00064,0.0075,0.042,0.0018,0.024,0.088
1970,1975,-0.0047,-0.0027,-0.0002,0,0.0047,0.077
1975,1980,-0.009,0.0012,0.064,0.016,0,0.083
1980,1986,0.012,0.025,0.085,0.015,0,0.038
1986,1989,0.0089,0.011,0.07,0.00028,0,0.026
1989,1992,-0.0008,0.009,0.048,0,0,0.021
1992,1995,-0.00088,0.0095,0.061,0,0,0.011
1995,1998,-0.012,-0.00028,0.039,0.00089,0,0.0081
1998,2001,0.012,0.021,0.073,0.014,0.0077,0.011
2001,2004,-0.0022,0.0087,0.067610806,0,0,0.0075
2004,2007,-0.0094,0.009,0.044,0,0,0.0034
2007,2010,0.0046,0.018,0.072,0,0,0
2010,2013,-0.017,0.0055,0.038,0.00089,0,0.0096
2013,2016,-0.0012,0.011,0.048,0,0,0.003
2016,2019,-0.0039,0.013,0.052,0,0,0.0078
2019,2022,0,0.017,0.067,0,0,0.0046
