start,end,no disease,have disease,deceased
0,4,0.9814917929178864,0.0001934534971555,0.0183147535849579
5,9,0.9872996058264416,0.0003392199298493,0.0123611742437091
10,14,0.98670069698501,0.0006753279415771,0.0126239750734128
15,19,0.9973020102413224,0.0006661703107845,0.0020318194478929
20,24,0.9798721948341594,0.0011816223367405,0.0189461828290999
25,29,0.9454960215944797,0.0020819102624383,0.0524220681430821
30,34,0.9496292037590172,0.0031204680017092,0.0472503282392735
35,39,0.9421415577771276,0.0065466927455958,0.0513117494772765
40,44,0.9379914728656168,0.0113294319669044,0.0506790951674787
45,49,0.9224785540567556,0.018884149694091,0.0586372962491533
50,54,0.8949517465983466,0.0308295892452858,0.0742186641563675
55,59,0.825839903234609,0.0477018748137641,0.1264582219516268
60,64,0.7217477980914894,0.0591916398649408,0.2190605620435698
65,69,0.6753077895420967,0.0703382572428176,0.2543539532150857
70,74,0.5827486077395913,0.0651845531562278,0.3520668391041809
75,79,0.4726874402117257,0.0512410692943405,0.4760714904939336
80,84,0.3410099379089774,0.0331260081905751,0.6258640539004474
