start,end,no disease,have disease,deceased
0,4,0.9696989484765376,0.0010903075419204,0.0292107439815419
5,9,0.9769072717527248,0.001109225180156,0.0219835030671192
10,14,0.986259310638436,0.0010426832678198,0.0126980060937441
15,19,0.997946127946128,0.002053872053872,0.0
20,24,0.9767532118582504,0.0031413682035155,0.0201054199382341
25,29,0.9634825181430348,0.0041984792909654,0.0323190025659997
30,34,0.9553953261157307,0.0063451949817012,0.0382594789025678
35,39,0.958339979568155,0.0083371181357585,0.0333229022960864
40,44,0.9569648832558004,0.0092079505109295,0.03382716623327
45,49,0.9371700626316504,0.0111808863940966,0.0516490509742528
50,54,0.9375052722820394,0.014500762265009,0.0479939654529516
55,59,0.9122820107241272,0.0157579013340496,0.0719600879418231
60,64,0.8781125708753976,0.0172545982575024,0.1046328308670999
65,69,0.7983857647270043,0.0167910790161383,0.1848231562568573
70,74,0.695889978878561,0.0166078562464987,0.2875021648749403
75,79,0.6102282055176099,0.0140641190029008,0.3757076754794892
80,84,0.475983628511952,0.0092402107053743,0.5147761607826737
