start,end,no disease,have disease,deceased
0,4,0.9842394372341036,0.0006435194371134,0.015117043328783
5,9,0.9862907481842036,0.0009048996629403,0.012804352152856
10,14,0.9956376701368008,0.001166636964564,0.0031956928986351
15,19,0.9917568090684188,0.0010929262080399,0.0071502647235412
20,24,0.9779098182125244,0.0010617745645159,0.0210284072229596
25,29,0.9588437382369854,0.0024789900923221,0.0386772716706924
30,34,0.9454958290857616,0.0024408436367921,0.0520633272774461
35,39,0.9502527299554746,0.0096964118118489,0.0400508582326764
40,44,0.9408502866828532,0.0095706442148426,0.0495790691023042
45,49,0.9054760583884476,0.0279443071468004,0.0665796344647518
50,54,0.8472799469374976,0.0261431278372844,0.126576925225218
55,59,0.7445848056594553,0.0560537701230419,0.1993614242175027
60,64,0.7042831305945616,0.0530363103789288,0.2426805590265094
65,69,0.6148508670588599,0.066414111090663,0.318735021850477
70,74,0.5210705410300435,0.0562845227753381,0.4226449361946183
75,79,0.4006709140499921,0.0320063130516389,0.5673227728983689
80,84,0.2670820374493218,0.0213375593377413,0.7115804032129368
