start,end,no disease,have disease,deceased
0,4,0.970789256018458,0.0,0.0292107439815419
5,9,0.9780164969328808,0.0,0.0219835030671192
10,14,0.9873019939062558,0.0,0.0126980060937441
15,19,1.0,0.0,0.0
20,24,0.9796855978053544,0.0002089822564112,0.0201054199382341
25,29,0.9676809974340004,0.0,0.0323190025659997
30,34,0.961740521097432,0.0,0.0382594789025678
35,39,0.9665431583151398,0.0001339393887736,0.0333229022960864
40,44,0.9660657058165424,0.0001071279501875,0.03382716623327
45,49,0.948240905018526,0.0001100440072213,0.0516490509742528
50,54,0.9518404246875692,0.0001656098594791,0.0479939654529516
55,59,0.9274772444931034,0.0005626675650734,0.0719600879418231
60,64,0.8939080408741253,0.0014591282587747,0.1046328308670999
65,69,0.8127778140508688,0.0023990296922739,0.1848231562568573
70,74,0.706888303270485,0.0056095318545745,0.2875021648749403
75,79,0.6110764623242706,0.0132158621962402,0.3757076754794892
80,84,0.4620057248274273,0.0232181143898989,0.5147761607826737
