start,end,no disease,have disease,deceased
0,4,0.970789256018458,0.0,0.0292107439815419
5,9,0.9780164969328808,0.0,0.0219835030671192
10,14,0.9873019939062558,0.0,0.0126980060937441
15,19,1.0,0.0,0.0
20,24,0.9796855978053544,0.0002089822564112,0.0201054199382341
25,29,0.9676809974340004,0.0,0.0323190025659997
30,34,0.961740521097432,0.0,0.0382594789025678
35,39,0.9666770977039136,0.0,0.0333229022960864
40,44,0.9660657058165424,0.0001071279501875,0.03382716623327
45,49,0.9482193419719158,0.0001316070538312,0.0516490509742528
50,54,0.95161881263696,0.0003872219100881,0.0479939654529516
55,59,0.9270255224962446,0.0010143895619323,0.0719600879418231
60,64,0.8936151843477693,0.0017519847851306,0.1046328308670999
65,69,0.8129964858234555,0.0021803579196872,0.1848231562568573
70,74,0.709164198333893,0.0033336367911667,0.2875021648749403
75,79,0.6188552657189983,0.0054370588015125,0.3757076754794892
80,84,0.4799394259327377,0.0052844132845885,0.5147761607826737
