start,end,no disease,have disease,deceased
0,4,0.9847066138788868,0.001755768115931,0.0135376180051821
5,9,0.9708900175925786,0.005261734073828,0.0238482483335931
10,14,0.9798323463987596,0.0080736281973054,0.012094025403935
15,19,0.9793320586404732,0.0117478899687211,0.0089200513908055
20,24,0.9662927729986828,0.0197633359588746,0.0139438910424423
25,29,0.9305981380299432,0.0263338905065881,0.0430679714634684
30,34,0.9276824995474724,0.028704626509214,0.0436128739433137
35,39,0.9311685936912948,0.0341764093208026,0.0346549969879025
40,44,0.9205145625366876,0.0354209967393527,0.0440644407239596
45,49,0.914469293430022,0.0361654467294329,0.049365259840545
50,54,0.9089436119429042,0.0339380328910995,0.0571183551659962
55,59,0.8839435775696147,0.0292742548152027,0.0867821676151825
60,64,0.844181380393871,0.0257116647713959,0.130106954834733
65,69,0.7501047340660413,0.021974476407578,0.2279207895263806
70,74,0.6783149525474039,0.0230444901788346,0.2986405572737615
75,79,0.5802857023012086,0.0207380293285795,0.3989762683702119
80,84,0.4333968782710338,0.0158454557983579,0.5507576659306082
