start,end,no disease,have disease,deceased
0,4,0.9803282500995174,0.0052962730025029,0.0143754768979796
5,9,0.9666301946982246,0.011845647674921,0.0215241576268543
10,14,0.977360496643307,0.0063223542390293,0.0163171491176634
15,19,0.9905894446285216,0.0036021181359082,0.00580843723557
20,24,0.9882586614371196,0.0051876435192169,0.0065536950436634
25,29,0.9707916990725488,0.0044684347107745,0.0247398662166765
30,34,0.9655341596066284,0.0066483298321374,0.0278175105612341
35,39,0.960513518444574,0.0075709275997109,0.0319155539557148
40,44,0.9569195362019508,0.0128351576008044,0.0302453061972448
45,49,0.9429714881454152,0.0157377498733937,0.0412907619811911
50,54,0.9231772737145872,0.0283006188074787,0.0485221074779339
55,59,0.8895139444479214,0.041097847949217,0.0693882076028614
60,64,0.8466593557112994,0.0573424690353714,0.0959981752533291
65,69,0.7730231498296399,0.0806059053037079,0.1463709448666521
70,74,0.6444297420684233,0.0951512496521349,0.2604190082794417
75,79,0.5389409329826976,0.1056240262747936,0.3554350407425087
80,84,0.4246236365832659,0.0891922754239636,0.4861840879927704
