start,end,no disease,have disease,deceased
0,4,0.9631640617090828,0.0245911823163808,0.0122447559745364
5,9,0.968928638181844,0.0181483467832084,0.0129230150349475
10,14,0.9839582922176172,0.0052858364581277,0.0107558713242549
15,19,0.9924325091073192,0.002211941948914,0.0053555489437667
20,24,0.983550524278654,0.0014629924269441,0.0149864832944016
25,29,0.9651384931239876,0.0016729633711936,0.0331885435048187
30,34,0.9512873499788034,0.0021690035904674,0.0465436464307292
35,39,0.9541216397922428,0.0020819179650191,0.0437964422427381
40,44,0.9462319175472328,0.0030617591190676,0.0507063233336996
45,49,0.9383783565405716,0.0028751922692121,0.0587464511902162
50,54,0.9069369831075312,0.0047056340104763,0.0883573828819924
55,59,0.8167606986399494,0.0063149690030923,0.1769243323569582
60,64,0.7618464477975233,0.010676883142893,0.2274766690595836
65,69,0.6960363014947638,0.0136392393513728,0.2903244591538633
70,74,0.5938013346345188,0.0178333930057898,0.3883652723596913
75,79,0.4677518039967029,0.0179086923670549,0.514339503636242
80,84,0.3071656745422135,0.0141475010930332,0.6786868243647532
