start,end,no disease,have disease,deceased
0,4,0.9864623819948178,0.0,0.0135376180051821
5,9,0.9761517516664068,0.0,0.0238482483335931
10,14,0.9877426417252216,0.0001633328708434,0.012094025403935
15,19,0.9910799486091943,0.0,0.0089200513908055
20,24,0.9853039209197452,0.0007521880378123,0.0139438910424423
25,29,0.9553914612947916,0.0015405672417399,0.0430679714634684
30,34,0.9526228151462184,0.0037643109104679,0.0436128739433137
35,39,0.9562702398158432,0.0090747631962542,0.0346549969879025
40,44,0.93197338768616,0.0239621715898804,0.0440644407239596
45,49,0.8996651478404091,0.0509695923190458,0.049365259840545
50,54,0.8452962414482968,0.0975854033857068,0.0571183551659962
55,59,0.7734352471649106,0.1397825852199068,0.0867821676151825
60,64,0.6914646674893952,0.1784283776758717,0.130106954834733
65,69,0.5701031592475555,0.2019760512260638,0.2279207895263806
70,74,0.4988537690554315,0.202505673670807,0.2986405572737615
75,79,0.4031383579000108,0.1978853737297773,0.3989762683702119
80,84,0.2982139705816287,0.151028363487763,0.5507576659306082
