start,end,no disease,have disease,deceased
0,4,0.9864623819948178,0.0,0.0135376180051821
5,9,0.9761517516664068,0.0,0.0238482483335931
10,14,0.9877426417252216,0.0001633328708434,0.012094025403935
15,19,0.9909107034145548,0.0001692451946394,0.0089200513908055
20,24,0.9858672407821244,0.0001888681754332,0.0139438910424423
25,29,0.95654107274995,0.0003909557865816,0.0430679714634684
30,34,0.9560417041172504,0.0003454219394357,0.0436128739433137
35,39,0.9643211396241288,0.0010238633879686,0.0346549969879025
40,44,0.953361401629239,0.0025741576468014,0.0440644407239596
45,49,0.9471077085348606,0.0035270316245944,0.049365259840545
50,54,0.9366471929070164,0.0062344519269873,0.0571183551659962
55,59,0.90468924997138,0.0085285824134374,0.0867821676151825
60,64,0.855996256301926,0.0138967888633409,0.130106954834733
65,69,0.7517220690081259,0.0203571414654935,0.2279207895263806
70,74,0.6773794651192858,0.0239799776069526,0.2986405572737615
75,79,0.573407224480449,0.027616507149339,0.3989762683702119
80,84,0.4238322232774139,0.0254101107919779,0.5507576659306082
