start,end,no disease,have disease,deceased
0,4,0.970789256018458,0.0,0.0292107439815419
5,9,0.9780164969328808,0.0,0.0219835030671192
10,14,0.9873019939062558,0.0,0.0126980060937441
15,19,1.0,0.0,0.0
20,24,0.9798945800617658,0.0,0.0201054199382341
25,29,0.967281142263432,0.0003998551705681,0.0323190025659997
30,34,0.961415756279014,0.0003247648184182,0.0382594789025678
35,39,0.9654383990015184,0.0012386987023952,0.0333229022960864
40,44,0.963862453791895,0.002310379974835,0.03382716623327
45,49,0.9437274150171658,0.0046235340085813,0.0516490509742528
50,54,0.9441344986995648,0.0078715358474834,0.0479939654529516
55,59,0.9153209560978552,0.0127189559603217,0.0719600879418231
60,64,0.8745548527988937,0.0208123163340063,0.1046328308670999
65,69,0.7899674301116718,0.0252094136314708,0.1848231562568573
70,74,0.6791045318492531,0.0333933032758065,0.2875021648749403
75,79,0.5865327890698381,0.0377595354506727,0.3757076754794892
80,84,0.4530946966214774,0.0321291425958488,0.5147761607826737
