start,end,no disease,have disease,deceased
0,4,0.9804692111483364,0.0051553119536839,0.0143754768979796
5,9,0.9742908459498688,0.0041849964232769,0.0215241576268543
10,14,0.980377573982458,0.0033052768998785,0.0163171491176634
15,19,0.9908426910027228,0.0033488717617071,0.00580843723557
20,24,0.9909870361528468,0.0024592688034897,0.0065536950436634
25,29,0.9722548547154978,0.0030052790678256,0.0247398662166765
30,34,0.9697044524926774,0.0024780369460884,0.0278175105612341
35,39,0.9640711664494896,0.0040132795947955,0.0319155539557148
40,44,0.9654394547796588,0.0043152390230962,0.0302453061972448
45,49,0.9534186074732964,0.0052906305455123,0.0412907619811911
50,54,0.9424066403653376,0.0090712521567282,0.0485221074779339
55,59,0.9185723409888832,0.0120394514082554,0.0693882076028614
60,64,0.8866447896087715,0.0173570351378994,0.0959981752533291
65,69,0.8285898014627033,0.0250392536706444,0.1463709448666521
70,74,0.7097924780130987,0.0297885137074593,0.2604190082794417
75,79,0.6115408652246795,0.0330240940328117,0.3554350407425087
80,84,0.4817661656414774,0.0320497463657521,0.4861840879927704
