start,end,no disease,have disease,deceased
0,4,0.9423095473450716,0.0284797086733866,0.0292107439815419
5,9,0.966918661783098,0.0110978351497826,0.0219835030671192
10,14,0.9840025688252134,0.0032994250810424,0.0126980060937441
15,19,0.9977760942760944,0.0022239057239057,0.0
20,24,0.9773088109468554,0.0025857691149103,0.0201054199382341
25,29,0.964635188869559,0.0030458085644412,0.0323190025659997
30,34,0.9579975383372586,0.0037429827601734,0.0382594789025678
35,39,0.9627770262289852,0.0039000714749283,0.0333229022960864
40,44,0.9636027736032688,0.002570060163461,0.03382716623327
45,49,0.946377423952843,0.0019735250729041,0.0516490509742528
50,54,0.9498127652187096,0.0021932693283387,0.0479939654529516
55,59,0.9255963927935456,0.0024435192646312,0.0719600879418231
60,64,0.892826994883142,0.0025401742497579,0.1046328308670999
65,69,0.8124295318079355,0.0027473119352071,0.1848231562568573
70,74,0.7094575245191462,0.0030403106059134,0.2875021648749403
75,79,0.6214306152560607,0.00286170926445,0.3757076754794892
80,84,0.482868182610679,0.0023556566066472,0.5147761607826737
