start,end,no disease,have disease,deceased
0,4,0.9727488750695182,0.0121340816016987,0.015117043328783
5,9,0.9565166191202812,0.0306790287268626,0.012804352152856
10,14,0.965826551013019,0.0309777560883459,0.0031956928986351
15,19,0.9825869221112384,0.0102628131652202,0.0071502647235412
20,24,0.9688519001059336,0.0101196926711069,0.0210284072229596
25,29,0.9523654077435396,0.0089573205857681,0.0386772716706924
30,34,0.9391040747469503,0.0088325979756034,0.0520633272774461
35,39,0.9466404225145484,0.0133087192527751,0.0400508582326764
40,44,0.9372433689394032,0.0131775619582924,0.0495790691023042
45,49,0.9208191352834448,0.0126012302518033,0.0665796344647518
50,54,0.8616311451210074,0.0117919296537746,0.126576925225218
55,59,0.7866973054037056,0.0139412703787915,0.1993614242175027
60,64,0.7441329129741057,0.0131865279993848,0.2426805590265094
65,69,0.6695597011418636,0.0117052770076594,0.318735021850477
70,74,0.5674348802752952,0.0099201835300865,0.4226449361946183
75,79,0.4277172208281053,0.0049600062735257,0.5673227728983689
80,84,0.2851130379275493,0.0033065588595138,0.7115804032129368
