start,end,no disease,have disease,deceased
0,4,0.9431357220142196,0.0271320526856879,0.0297322253000923
5,9,0.9521110284859644,0.03518750924485,0.0127014622691855
10,14,0.9660473819230768,0.019613298859555,0.014339319217368
15,19,0.9897082793581105,0.0074964378882879,0.0027952827536015
20,24,0.9621145577395578,0.0060979729729729,0.0317874692874692
25,29,0.9506401423430414,0.0065632985056656,0.0427965591512929
30,34,0.9559642077080251,0.0085957866553935,0.0354400056365813
35,39,0.9535485140575368,0.0091766899054565,0.0372747960370065
40,44,0.952947333851276,0.0090765749616235,0.0379760911871003
45,49,0.9379983349191244,0.0094326831588962,0.052568981921979
50,54,0.9282590752225658,0.0089637492575761,0.0627771755198581
55,59,0.9013494864923564,0.0087354659847232,0.0899150475229204
60,64,0.8194867705675785,0.0089716623235807,0.1715415671088407
65,69,0.7459591392727524,0.0111496801710532,0.2428911805561943
70,74,0.6705327954028939,0.012558566966955,0.316908637630151
75,79,0.5489937348876172,0.0122158917557441,0.4387903733566387
80,84,0.4086128607240684,0.0083763680895719,0.5830107711863597
