start,end,no disease,have disease,deceased
0,4,0.9593911651373962,0.0108766095625115,0.0297322253000923
5,9,0.978452130535098,0.0088464071957163,0.0127014622691855
10,14,0.9821380206075784,0.0035226601750536,0.014339319217368
15,19,0.9945064309459304,0.002698286300468,0.0027952827536015
20,24,0.9655798687157556,0.0026326619967751,0.0317874692874692
25,29,0.9545263234845952,0.0026771173641118,0.0427965591512929
30,34,0.9613410272535758,0.0032189671098428,0.0354400056365813
35,39,0.959108645173853,0.0036165587891405,0.0372747960370065
40,44,0.9571801276177926,0.004843781195107,0.0379760911871003
45,49,0.942155740193982,0.005275277884039,0.052568981921979
50,54,0.9315976338096236,0.0056251906705183,0.0627771755198581
55,59,0.9018681700406888,0.0082167824363907,0.0899150475229204
60,64,0.818006878377688,0.0104515545134712,0.1715415671088407
65,69,0.7453467367719382,0.0117620826718673,0.2428911805561943
70,74,0.6683259591689886,0.0147654032008603,0.316908637630151
75,79,0.5449340910377493,0.0162755356056121,0.4387903733566387
80,84,0.4009036684663244,0.0160855603473158,0.5830107711863597
