start,end,no disease,have disease,deceased
0,4,0.9796871438493636,0.0059373792526568,0.0143754768979796
5,9,0.9747006996739698,0.0037751426991759,0.0215241576268543
10,14,0.9813976070637972,0.0022852438185391,0.0163171491176634
15,19,0.9925033944875938,0.001688168276836,0.00580843723557
20,24,0.991257818202008,0.0021884867543286,0.0065536950436634
25,29,0.9721539759786686,0.0031061578046549,0.0247398662166765
30,34,0.9684199109400952,0.0037625784986705,0.0278175105612341
35,39,0.9638672335075325,0.0042172125367526,0.0319155539557148
40,44,0.9652310554292804,0.0045236383734748,0.0302453061972448
45,49,0.953127024152262,0.0055822138665469,0.0412907619811911
50,54,0.9437847127123346,0.0076931798097314,0.0485221074779339
55,59,0.9211803005645328,0.0094314918326056,0.0693882076028614
60,64,0.8912903555398775,0.0127114692067932,0.0959981752533291
65,69,0.836749996755083,0.0168790583782649,0.1463709448666521
70,74,0.7207776028028314,0.0188033889177267,0.2604190082794417
75,79,0.6243921182277326,0.0201728410297587,0.3554350407425087
80,84,0.4954250815258139,0.0183908304814156,0.4861840879927704
