start,end,no disease,have disease,deceased
0,4,0.9849327823172384,0.000691740784782,0.0143754768979796
5,9,0.9782851926813628,0.0001906496917829,0.0215241576268543
10,14,0.9833221548388577,0.0003606960434788,0.0163171491176634
15,19,0.9934714869999364,0.0007200757644934,0.00580843723557
20,24,0.9921489750423224,0.0012973299140141,0.0065536950436634
25,29,0.97235573345236,0.0029044003309634,0.0247398662166765
30,34,0.9679843272578994,0.0041981621808664,0.0278175105612341
35,39,0.9642433410238545,0.0038411050204305,0.0319155539557148
40,44,0.963465371398062,0.006289322404693,0.0302453061972448
45,49,0.9508291597904232,0.0078800782283857,0.0412907619811911
50,54,0.9410115492433888,0.0104663432786773,0.0485221074779339
55,59,0.9163864473522434,0.0142253450448951,0.0693882076028614
60,64,0.8867067531810892,0.0172950715655816,0.0959981752533291
65,69,0.8316287968384494,0.0220002582948984,0.1463709448666521
70,74,0.7169021661457359,0.0226788255748223,0.2604190082794417
75,79,0.6193839622597569,0.0251809969977343,0.3554350407425087
80,84,0.4927660080391614,0.0210499039680681,0.4861840879927704
