start,end,no disease,have disease,deceased
0,4,0.9845307312469456,0.0003522254242715,0.015117043328783
5,9,0.9869601273800837,0.0002355204670603,0.012804352152856
10,14,0.9965665979251608,0.0002377091762038,0.0031956928986351
15,19,0.9921074177173737,0.0007423175590852,0.0071502647235412
20,24,0.9781963692019188,0.0007752235751214,0.0210284072229596
25,29,0.959651700775971,0.0016710275533366,0.0386772716706924
30,34,0.9462861606032702,0.0016505121192836,0.0520633272774461
35,39,0.9548405223403345,0.005108619426989,0.0400508582326764
40,44,0.94529162083838,0.0051293100593158,0.0495790691023042
45,49,0.9243588165213305,0.0090615490139177,0.0665796344647518
50,54,0.864967627972918,0.0084554468018639,0.126576925225218
55,59,0.78476820179672,0.0158703739857771,0.1993614242175027
60,64,0.7423275474451643,0.0149918935283261,0.2426805590265094
65,69,0.6593096610205348,0.0219553171289882,0.318735021850477
70,74,0.5587788757331167,0.0185761880722649,0.4226449361946183
75,79,0.4209504229799247,0.0117268041217063,0.5673227728983689
80,84,0.2806393358307357,0.0077802609563274,0.7115804032129368
