start,end,no disease,have disease,deceased
0,4,0.9663947542352246,0.0213604897902389,0.0122447559745364
5,9,0.9214813697390254,0.065595615226027,0.0129230150349475
10,14,0.9522399842115652,0.0370041444641799,0.0107558713242549
15,19,0.9668313002082712,0.0278131508479619,0.0053555489437667
20,24,0.953137936682528,0.0318755800230702,0.0149864832944016
25,29,0.9176655280997804,0.0491459283954006,0.0331885435048187
30,34,0.9039552646768492,0.0495010888924216,0.0465436464307292
35,39,0.903359603692862,0.0528439540643999,0.0437964422427381
40,44,0.8893239563874339,0.0599697202788664,0.0507063233336996
45,49,0.8794860595472082,0.0617674892625755,0.0587464511902162
50,54,0.8378019371417276,0.0738406799762799,0.0883573828819924
55,59,0.7454306501627769,0.0776450174802649,0.1769243323569582
60,64,0.6885920674802585,0.0839312634601579,0.2274766690595836
65,69,0.6325905292479109,0.0770850115982258,0.2903244591538633
70,74,0.552156952077223,0.0594777755630855,0.3883652723596913
75,79,0.449029539090796,0.0366309572729618,0.514339503636242
80,84,0.3027434281383381,0.0185697474969085,0.6786868243647532
