start,end,no disease,have disease,deceased
0,4,0.9675587978675484,0.0032304581509096,0.0292107439815419
5,9,0.9761860786876154,0.0018304182452653,0.0219835030671192
10,14,0.9854502516858816,0.0018517422203741,0.0126980060937441
15,19,0.99740150461633,0.00259849538367,0.0
20,24,0.9761061919820474,0.0037883880797184,0.0201054199382341
25,29,0.963507215032193,0.0041737824018072,0.0323190025659997
30,34,0.957557877415336,0.0041826436820961,0.0382594789025678
35,39,0.9611206513358018,0.0055564463681117,0.0333229022960864
40,44,0.9594808061434849,0.0066920276232451,0.03382716623327
45,49,0.9379882592679376,0.0103626897578097,0.0516490509742528
50,54,0.9414010457486152,0.0106049887984331,0.0479939654529516
55,59,0.9164139009945682,0.0116260110636086,0.0719600879418231
60,64,0.8803663306079933,0.0150008385249066,0.1046328308670999
65,69,0.798987045719803,0.0161897980233397,0.1848231562568573
70,74,0.6947442203493407,0.0177536147757189,0.2875021648749403
75,79,0.6076569473883531,0.0166353771321577,0.3757076754794892
80,84,0.46950423883332,0.0157196003840063,0.5147761607826737
