start,end,no disease,have disease,deceased
0,4,0.937413652056274,0.0482108710457465,0.0143754768979796
5,9,0.9334767378489708,0.0449991045241749,0.0215241576268543
10,14,0.94882111584928,0.0348617350330564,0.0163171491176634
15,19,0.9647303783159096,0.0294611844485202,0.00580843723557
20,24,0.9570486174203416,0.036397687535995,0.0065536950436634
25,29,0.9385658983932548,0.0366942353900686,0.0247398662166765
30,34,0.9390870266087612,0.0330954628300046,0.0278175105612341
35,39,0.9363291233569369,0.0317553226873483,0.0319155539557148
40,44,0.942569737827786,0.0271849559749694,0.0302453061972448
45,49,0.9301452058109924,0.0285640322078165,0.0412907619811911
50,54,0.9242108279748348,0.0272670645472311,0.0485221074779339
55,59,0.9048051830834264,0.0258066093137122,0.0693882076028614
60,64,0.8803104099550971,0.0236914147915736,0.0959981752533291
65,69,0.8305086666131316,0.0231203885202161,0.1463709448666521
70,74,0.7186828968955379,0.0208980948250203,0.2604190082794417
75,79,0.6204328453940996,0.0241321138633916,0.3554350407425087
80,84,0.4940029189360769,0.0198129930711526,0.4861840879927704
