start,end,no disease,have disease,deceased
0,4,0.984882956671217,0.0,0.015117043328783
5,9,0.9867601305234858,0.0004355173236581,0.012804352152856
10,14,0.9964863120444564,0.0003179950569085,0.0031956928986351
15,19,0.9923775994760112,0.0004721358004475,0.0071502647235412
20,24,0.978505241881476,0.0004663508955641,0.0210284072229596
25,29,0.95949750876732,0.0018252195619877,0.0386772716706924
30,34,0.9461365169997404,0.0018001557228133,0.0520633272774461
35,39,0.9541761304523326,0.0057730113149909,0.0400508582326764
40,44,0.9447073224826468,0.005713608415049,0.0495790691023042
45,49,0.9221807094483228,0.0112396560869252,0.0665796344647518
50,54,0.862901619974498,0.010521454800284,0.126576925225218
55,59,0.7850899422529534,0.0155486335295438,0.1993614242175027
60,64,0.742579201959188,0.0147402390143024,0.2426805590265094
65,69,0.662551704371975,0.018713273777548,0.318735021850477
70,74,0.5614890167317306,0.015866047073651,0.4226449361946183
75,79,0.4200602692853081,0.0126169578163229,0.5673227728983689
80,84,0.2800181732282036,0.0084014235588595,0.7115804032129368
