start,end,no disease,have disease,deceased
0,4,0.9864623819948178,0.0,0.0135376180051821
5,9,0.9757919138944928,0.0003598377719138,0.0238482483335931
10,14,0.9875793088543782,0.0003266657416868,0.012094025403935
15,19,0.9909107034145548,0.0001692451946394,0.0089200513908055
20,24,0.9854911467632184,0.0005649621943394,0.0139438910424423
25,29,0.9552206062139276,0.0017114223226039,0.0430679714634684
30,34,0.9534912053938484,0.0028959206628377,0.0436128739433137
35,39,0.960240855095408,0.0051041479166894,0.0346549969879025
40,44,0.947539745278922,0.0083958139971184,0.0440644407239596
45,49,0.9377207144434476,0.0129140257160074,0.049365259840545
50,54,0.9263146770870254,0.0165669677469783,0.0571183551659962
55,59,0.890833549671919,0.0223842827128985,0.0867821676151825
60,64,0.8474817497602634,0.0224112954050036,0.130106954834733
65,69,0.7474916337247484,0.0245875767488711,0.2279207895263806
70,74,0.677928021824002,0.0234314209022365,0.2986405572737615
75,79,0.5819803528323602,0.0190433787974279,0.3989762683702119
80,84,0.4362845010323679,0.0129578330370238,0.5507576659306082
