start,end,no disease,have disease,deceased
0,4,0.9843554611793652,0.0005274954918516,0.015117043328783
5,9,0.9853910966629073,0.0018045511842367,0.012804352152856
10,14,0.9949813453394832,0.0018229617618815,0.0031956928986351
15,19,0.9902843731237378,0.0025653621527209,0.0071502647235412
20,24,0.976441365202674,0.0025302275743665,0.0210284072229596
25,29,0.9586153331312216,0.0027073951980858,0.0386772716706924
30,34,0.9452705500823876,0.0026661226401661,0.0520633272774461
35,39,0.9535514055269084,0.0063977362404151,0.0400508582326764
40,44,0.9440672681668676,0.006353662730828,0.0495790691023042
45,49,0.9209357429219588,0.0124846226132893,0.0665796344647518
50,54,0.8617427328591879,0.0116803419155941,0.126576925225218
55,59,0.7802000810234628,0.0204384947590343,0.1993614242175027
60,64,0.737980882114516,0.0193385588589746,0.2426805590265094
65,69,0.6423863291987219,0.0388786489508011,0.318735021850477
70,74,0.5443627608667974,0.0329923029385843,0.4226449361946183
75,79,0.3989344112207889,0.0337428158808422,0.5673227728983689
80,84,0.265957723789659,0.0224618729974041,0.7115804032129368
