start,end,no disease,have disease,deceased
0,4,0.9856245231020204,0.0,0.0143754768979796
5,9,0.9779019675433342,0.0005738748298114,0.0215241576268543
10,14,0.9802516141610376,0.0034312367212988,0.0163171491176634
15,19,0.9864481393259638,0.0077434234384661,0.00580843723557
20,24,0.9812604140714202,0.0121858908849164,0.0065536950436634
25,29,0.9497378074805906,0.0255223263027329,0.0247398662166765
30,34,0.9401373109814372,0.0320451784573286,0.0278175105612341
35,39,0.9260244096352552,0.04206003640903,0.0319155539557148
40,44,0.9252590552945688,0.0444956385081863,0.0302453061972448
45,49,0.9044906601332664,0.0542185778855424,0.0412907619811911
50,54,0.8846013124684473,0.0668765800536187,0.0485221074779339
55,59,0.8526010223050138,0.0780107700921247,0.0693882076028614
60,64,0.8258797231558412,0.0781221015908296,0.0959981752533291
65,69,0.770769145060604,0.0828599100727437,0.1463709448666521
70,74,0.642970037669411,0.0966109540511472,0.2604190082794417
75,79,0.5315797555849696,0.1129852036725217,0.3554350407425087
80,84,0.4106064199574486,0.1032094920497809,0.4861840879927704
