start,end,no disease,have disease,deceased
0,4,0.970789256018458,0.0,0.0292107439815419
5,9,0.9780164969328808,0.0,0.0219835030671192
10,14,0.9873019939062558,0.0,0.0126980060937441
15,19,1.0,0.0,0.0
20,24,0.9798945800617658,0.0,0.0201054199382341
25,29,0.9676809974340004,0.0,0.0323190025659997
30,34,0.9615781386882232,0.0001623824092091,0.0382594789025678
35,39,0.9665431583151398,0.0001339393887736,0.0333229022960864
40,44,0.96574432196598,0.00042851180075,0.03382716623327
45,49,0.947692761284442,0.0006581877413052,0.0516490509742528
50,54,0.9498127652187096,0.0021932693283387,0.0479939654529516
55,59,0.9230322519672506,0.0050076600909262,0.0719600879418231
60,64,0.8821352510026276,0.0132319181302724,0.1046328308670999
65,69,0.794254458227509,0.0209223855156336,0.1848231562568573
70,74,0.6769642717635289,0.0355335633615307,0.2875021648749403
75,79,0.5821626581075435,0.0421296664129672,0.3757076754794892
80,84,0.4444275859873972,0.0407962532299291,0.5147761607826737
