start,end,no disease,have disease,deceased
0,4,0.9842012032378706,0.0022611787569471,0.0135376180051821
5,9,0.9749429880365872,0.0012087636298194,0.0238482483335931
10,14,0.9865975923359404,0.0013083822601246,0.012094025403935
15,19,0.9898968915133324,0.0011830570958619,0.0089200513908055
20,24,0.98379790251216,0.0022582064453974,0.0139438910424423
25,29,0.9550483153760816,0.00188371316045,0.0430679714634684
30,34,0.9541875279238023,0.0021995981328837,0.0436128739433137
35,39,0.9629397032093168,0.0024052998027804,0.0346549969879025
40,44,0.9515466576327994,0.0043889016432408,0.0440644407239596
45,49,0.9449333262680852,0.0057014138913697,0.049365259840545
50,54,0.9357305188126926,0.007151126021311,0.0571183551659962
55,59,0.9044910005498624,0.0087268318349548,0.0867821676151825
60,64,0.8590365244996032,0.0108565206656637,0.130106954834733
65,69,0.7595587369312279,0.0125204735423915,0.2279207895263806
70,74,0.6882990452882317,0.0130603974380068,0.2986405572737615
75,79,0.5854399651342094,0.0155837664955788,0.3989762683702119
80,84,0.4363991140170042,0.0128432200523876,0.5507576659306082
