start,end,no disease,have disease,deceased
0,4,0.970789256018458,0.0,0.0292107439815419
5,9,0.9780164969328808,0.0,0.0219835030671192
10,14,0.9873019939062558,0.0,0.0126980060937441
15,19,1.0,0.0,0.0
20,24,0.9798945800617658,0.0,0.0201054199382341
25,29,0.967281142263432,0.0003998551705681,0.0323190025659997
30,34,0.9615781386882232,0.0001623824092091,0.0382594789025678
35,39,0.9666770977039136,0.0,0.0333229022960864
40,44,0.9658514499161672,0.0003213838505625,0.03382716623327
45,49,0.9479128492988848,0.0004380997268624,0.0516490509742528
50,54,0.950666110810226,0.0013399237368223,0.0479939654529516
55,59,0.9232759821330864,0.0047639299250902,0.0719600879418231
60,64,0.8859309707515862,0.0094361983813137,0.1046328308670999
65,69,0.797755460371721,0.0174213833714217,0.1848231562568573
70,74,0.687504378884134,0.0249934562409256,0.2875021648749403
75,79,0.5938507176397521,0.0304416068807587,0.3757076754794892
80,84,0.4582602008053982,0.026963638411928,0.5147761607826737
