start,end,no disease,have disease,deceased
0,4,0.9696583564173592,0.0006094182825484,0.0297322253000923
5,9,0.9839170474177252,0.0033814903130892,0.0127014622691855
10,14,0.9787215979509516,0.0069390828316805,0.014339319217368
15,19,0.9916358198446884,0.0055688974017102,0.0027952827536015
20,24,0.966378494200092,0.0018340365124385,0.0317874692874692
25,29,0.9548540870667168,0.0023493537819903,0.0427965591512929
30,34,0.9626185546679116,0.0019414396955071,0.0354400056365813
35,39,0.9604317276111736,0.00229347635182,0.0372747960370065
40,44,0.9587887568789548,0.0032351519339449,0.0379760911871003
45,49,0.9444613989919124,0.0029696190861084,0.052568981921979
50,54,0.933132408899182,0.0040904155809598,0.0627771755198581
55,59,0.9054678339458744,0.0046171185312053,0.0899150475229204
60,64,0.8237933280013183,0.0046651048898409,0.1715415671088407
65,69,0.7506611497388297,0.0064476697049759,0.2428911805561943
70,74,0.6743470811966563,0.0087442811731925,0.316908637630151
75,79,0.5509478101162452,0.010261816527116,0.4387903733566387
80,84,0.4066035274220833,0.0103857013915569,0.5830107711863597
