start,end,no disease,have disease,deceased
0,4,0.9842916760670845,0.0013328470349358,0.0143754768979796
5,9,0.9745100499821866,0.0039657923909589,0.0215241576268543
10,14,0.9677967702765744,0.0158860806057621,0.0163171491176634
15,19,0.9805515375967384,0.0136400251676915,0.00580843723557
20,24,0.988854785932016,0.0045915190243207,0.0065536950436634
25,29,0.9705395022303523,0.004720631552971,0.0247398662166765
30,34,0.967312400322851,0.0048700891159149,0.0278175105612341
35,39,0.961896417135344,0.0061880289089411,0.0319155539557148
40,44,0.96326839294148,0.0064863008612751,0.0302453061972448
45,49,0.95196703754824,0.0067422004705688,0.0412907619811911
50,54,0.9447590558546008,0.0067188366674652,0.0485221074779339
55,59,0.9235463603877802,0.0070654320093583,0.0693882076028614
60,64,0.8982447439922885,0.0057570807543823,0.0959981752533291
65,69,0.8484547197167261,0.0051743354166217,0.1463709448666521
70,74,0.7346582045500637,0.0049227871704945,0.2604190082794417
75,79,0.6394294905563337,0.0051354687011576,0.3554350407425087
80,84,0.5083568528178494,0.0054590591893801,0.4861840879927704
