start,end,no disease,have disease,deceased
0,4,0.9868675634275752,0.0008876805978884,0.0122447559745364
5,9,0.9861668923606712,0.0009100926043814,0.0129230150349475
10,14,0.9874667838803534,0.0017773447953917,0.0107558713242549
15,19,0.9919757997946148,0.0026686512616185,0.0053555489437667
20,24,0.9833930480969266,0.0016204686086716,0.0149864832944016
25,29,0.9648658810249876,0.0019455754701936,0.0331885435048187
30,34,0.9504969301053894,0.0029594234638813,0.0465436464307292
35,39,0.9523078591122156,0.0038956986450461,0.0437964422427381
40,44,0.9424359637970648,0.0068577128692355,0.0507063233336996
45,49,0.9335410558198904,0.0077124929898934,0.0587464511902162
50,54,0.9057420829296304,0.0059005341883771,0.0883573828819924
55,59,0.8199133588941305,0.0031623087489112,0.1769243323569582
60,64,0.7685181994127422,0.004005131527674,0.2274766690595836
65,69,0.7041615566780934,0.0055139841680432,0.2903244591538633
70,74,0.6048839130402156,0.006750814600093,0.3883652723596913
75,79,0.4781030130833229,0.007557483280435,0.514339503636242
80,84,0.3141928608219315,0.0071203148133152,0.6786868243647532
