start,end,no disease,have disease,deceased
0,4,0.9874753735659896,0.000279870459474,0.0122447559745364
5,9,0.9865004435917936,0.0005765413732589,0.0129230150349475
10,14,0.9885351454045788,0.0007089832711663,0.0107558713242549
15,19,0.9941717721569474,0.0004726788992859,0.0053555489437667
20,24,0.9845953400457338,0.0004181766598645,0.0149864832944016
25,29,0.9662934939414392,0.0005179625537419,0.0331885435048187
30,34,0.9527110661959804,0.0007452873732901,0.0465436464307292
35,39,0.9541973492024318,0.0020062085548299,0.0437964422427381
40,44,0.9457271113426858,0.0035665653236145,0.0507063233336996
45,49,0.9350536787013176,0.0061998701084661,0.0587464511902162
50,54,0.9046469073136983,0.0069957098043091,0.0883573828819924
55,59,0.8142019822809382,0.0088736853621034,0.1769243323569582
60,64,0.7630698482421033,0.0094534826983129,0.2274766690595836
65,69,0.6995946577717819,0.0100808830743548,0.2903244591538633
70,74,0.6013468897197148,0.0102878379205937,0.3883652723596913
75,79,0.4766718841505719,0.008988612213186,0.514339503636242
80,84,0.3160949782340739,0.0052181974011727,0.6786868243647532
