start,end,no disease,have disease,deceased
0,4,0.970789256018458,0.0,0.0292107439815419
5,9,0.9780164969328808,0.0,0.0219835030671192
10,14,0.9873019939062558,0.0,0.0126980060937441
15,19,0.9994709543282828,0.0005290456717171,0.0
20,24,0.9768423222559468,0.0030522578058189,0.0201054199382341
25,29,0.9574221701226328,0.0102588273113675,0.0323190025659997
30,34,0.9497949044454572,0.0119456166519749,0.0382594789025678
35,39,0.9607225127053688,0.0059545849985449,0.0333229022960864
40,44,0.9650484276301176,0.0011244061366123,0.03382716623327
45,49,0.9483293859791374,2.1563046609865964e-05,0.0516490509742528
50,54,0.9520060345470484,0.0,0.0479939654529516
55,59,0.9280399120581768,0.0,0.0719600879418231
60,64,0.8953671691329,0.0,0.1046328308670999
65,69,0.8151768437431427,0.0,0.1848231562568573
70,74,0.7124978351250597,0.0,0.2875021648749403
75,79,0.6242923245205108,0.0,0.3757076754794892
80,84,0.4852238392173263,0.0,0.5147761607826737
