start,end,no disease,have disease,deceased
0,4,0.9524928436304498,0.0323901130407671,0.015117043328783
5,9,0.9588317696095668,0.0283638782375771,0.012804352152856
10,14,0.9682434832596069,0.0285608238417581,0.0031956928986351
15,19,0.9756247335943726,0.0172250016820861,0.0071502647235412
20,24,0.9618375284109976,0.0171340643660428,0.0210284072229596
25,29,0.9411448932733684,0.020177835055939,0.0386772716706924
30,34,0.928251239316896,0.0196854334056579,0.0520633272774461
35,39,0.9356314949490194,0.024317646818304,0.0400508582326764
40,44,0.9264379740927912,0.0239829568049044,0.0495790691023042
45,49,0.9036063335609816,0.0298140319742665,0.0665796344647518
50,54,0.8457740917533094,0.0276489830214725,0.126576925225218
55,59,0.7802989021363262,0.0203396736461709,0.1993614242175027
60,64,0.7380003949906765,0.0193190459828139,0.2426805590265094
65,69,0.6662363331410178,0.0150286450085052,0.318735021850477
70,74,0.5645913108441428,0.0127637529612388,0.4226449361946183
75,79,0.4199255521963221,0.0127516749053089,0.5673227728983689
80,84,0.2799603494383744,0.0084592473486887,0.7115804032129368
