start,end,no disease,have disease,deceased
0,4,0.970789256018458,0.0,0.0292107439815419
5,9,0.9780164969328808,0.0,0.0219835030671192
10,14,0.9873019939062558,0.0,0.0126980060937441
15,19,1.0,0.0,0.0
20,24,0.9798945800617658,0.0,0.0201054199382341
25,29,0.9676809974340004,0.0,0.0323190025659997
30,34,0.961740521097432,0.0,0.0382594789025678
35,39,0.9666770977039136,0.0,0.0333229022960864
40,44,0.9524079028086724,0.0137649309580573,0.03382716623327
45,49,0.9342113322488116,0.0141396167769356,0.0516490509742528
50,54,0.9353547924890918,0.0166512420579565,0.0479939654529516
55,59,0.9111031525750838,0.016936759483093,0.0719600879418231
60,64,0.8802987138708339,0.0150684552620661,0.1046328308670999
65,69,0.7842167208601807,0.0309601228829619,0.1848231562568573
70,74,0.6629596912380376,0.049538143887022,0.2875021648749403
75,79,0.5463398880022453,0.0779524365182654,0.3757076754794892
80,84,0.3663378898448843,0.1188859493724419,0.5147761607826737
