start,end,Healthy ,Care ,Death 
0,4,0.825532052,0.16093033,0.013537618
5,9,0.79571613,0.180435622,0.023848248
10,14,0.832305401,0.155600574,0.012094025
15,19,0.863584097,0.127495851,0.008920051
20,24,0.847377646,0.138678463,0.013943891
25,29,0.782874095,0.174057934,0.043067971
30,34,0.761545045,0.194842081,0.043612874
35,39,0.750066618,0.215278385,0.034654997
40,44,0.704272541,0.251663018,0.044064441
45,49,0.646307511,0.304327229,0.04936526
50,54,0.562004016,0.380877629,0.057118355
55,59,0.478802773,0.434415059,0.086782168
60,64,0.382513539,0.487379506,0.130106955
65,69,0.261060439,0.511018772,0.22792079
70,74,0.183691073,0.51766837,0.298640557
75,79,0.113661493,0.487362239,0.398976268
80,84,0.050860107,0.398382227,0.550757666
