,SUM,0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85~89,90~94,95~99,100~,Unknown
SUM,1028602,4281,607,589,1928,3241,4157,5969,7405,10069,16098,31307,46480,61579,81497,117114,152164,160438,154810,116289,43485,8436,659
Diabetes,12637,1,1,1,4,8,18,32,68,92,174,424,667,961,1372,1775,2070,2032,1696,968,249,24,0
Thyroid Disease,297,0,0,1,0,3,1,6,5,6,15,10,10,18,18,29,31,46,51,36,11,0,0
Other Metabolic Disorders,5145,68,11,6,10,16,17,30,47,67,74,131,196,241,284,408,629,795,856,841,324,85,9
Dementia,4894,0,0,0,0,0,0,0,1,1,3,1,17,49,93,252,480,868,1272,1157,578,122,0
Parkinson's Disease,3267,0,0,0,0,0,0,0,0,1,3,17,19,55,153,450,806,846,620,244,51,2,0
Depression,8008,128,40,49,90,106,137,165,171,207,228,436,612,759,917,1098,1125,820,537,281,84,15,3
Eye Diseases,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ear Diseases,14,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,5,1,0,2,1,0,0
Hypertension,5706,0,1,0,0,0,2,2,14,17,38,68,95,176,212,349,617,878,1221,1292,609,114,1
Stroke,125480,9,11,16,20,49,85,232,440,798,1462,2682,4024,5235,7635,12125,18412,22533,24169,18126,6393,995,29
Heart Disease,159625,205,25,42,108,205,305,613,817,1187,1947,3613,5366,7644,10396,15618,22301,27023,28764,22980,8856,1574,36
Other Cardiovascular Diseases,22383,13,1,2,10,18,43,82,107,188,287,580,830,1117,1598,2619,3670,4274,3750,2322,749,111,9
Acute Nasopharyngitis,1487,28,4,6,1,3,4,5,6,4,9,18,26,26,67,87,177,217,327,296,141,35,0
Allergic Rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,3283,15,3,6,15,15,23,28,36,43,45,60,91,123,190,328,483,588,558,440,160,32,1
Other Respiratory Diseases,144523,245,36,29,54,73,85,139,168,185,369,860,1619,3180,5670,11753,21445,28378,31715,26326,10156,2023,15
Stomach and Duodenal Diseases,3488,2,0,1,2,2,4,2,12,28,55,103,177,206,230,342,492,575,546,499,175,31,4
Liver and Gallbladder Diseases,24272,16,2,1,4,16,30,106,263,557,904,1695,2215,2695,3081,3486,3221,2454,1870,1204,379,70,3
Dental Diseases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Other Digestive Diseases,19848,92,12,12,8,23,39,41,67,121,192,413,577,828,1254,1967,2900,3427,3832,2869,995,176,3
Skin Disease,1649,10,3,1,0,1,3,4,8,12,21,26,51,72,111,192,291,266,239,202,112,23,1
Arthritis,1724,1,2,0,0,1,3,0,0,4,9,26,50,119,182,327,410,268,194,100,24,4,0
Arthropathy,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,5,1,0
Other musculoskeletal Pain,332,0,0,0,0,0,0,0,0,3,2,1,12,17,20,33,65,63,58,38,17,3,0
Bone Density Abnormalities,138,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,12,20,24,43,24,8,0
Kidney Diseases,24410,14,3,1,3,8,6,30,25,57,120,289,453,711,1162,2073,3498,4676,5272,4275,1492,238,4
Benign Prostatic Hyperplasia,106,0,0,0,0,0,0,0,0,0,0,1,0,3,6,12,9,13,24,24,11,3,0
Fractures,6183,50,33,28,197,267,244,283,195,203,214,267,393,371,379,477,561,567,617,547,228,45,17
Other Injuries,67242,468,213,189,1068,2028,2410,2853,2817,3018,3579,5098,6081,5506,5152,5754,6300,5889,4694,2823,820,123,359
Anemia and Blood Disorders,4066,29,5,7,9,9,14,35,36,44,59,98,133,178,283,441,608,704,651,511,180,32,0
Cancer,320358,129,104,123,211,245,483,968,1782,2841,5736,13409,21412,29441,38520,51211,55881,44970,31731,16602,4060,475,24
Pregnancy and Childbirth,56,0,0,0,0,1,7,20,18,5,3,0,0,0,1,1,0,0,0,0,0,0,0
Other Conditions,33840,2758,97,68,114,144,194,293,301,380,549,980,1354,1843,2453,3721,4958,5095,4527,2826,899,148,141
Care Recipient,24126,0,0,0,0,0,0,0,0,0,0,0,0,4,55,179,705,2151,4992,8414,5702,1924,0
