,0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84
SUM,3382,480,553,1422,2753,3437,4837,7555,10162,14532,22014,39326,66096,83087,110248,163089,211257
Diabetes,0,0,4,3,4,14,26,63,110,161,263,554,999,1209,1732,2298,2693
Thyroid Disease,0,0,0,0,1,2,8,5,9,7,11,16,15,23,22,43,72
Other Metabolic Disorders,55,7,5,4,12,18,30,43,73,102,122,203,276,317,433,760,1112
Dementia,0,0,0,0,0,0,0,0,1,1,5,17,69,135,338,847,1840
Parkinson's Disease,0,0,0,0,0,0,0,0,0,2,9,24,55,162,514,1088,1527
Depression,112,29,34,65,82,97,134,183,211,275,381,621,1000,1260,1536,1827,1800
Eye Diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Ear Diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5
Hypertension,0,0,0,1,1,2,2,8,23,29,52,115,202,254,324,595,1045
Stroke,9,8,15,18,34,87,183,451,806,1244,1893,3077,5013,6395,9499,15997,23105
Heart Disease,125,26,42,62,115,196,383,756,1106,1735,2636,4674,8069,10232,14244,23433,33939
Other Cardiovascular Diseases,9,0,1,10,16,38,68,131,188,320,399,762,1413,1871,2528,4068,5597
Acute Nasopharyngitis,21,6,2,3,2,3,8,4,7,5,7,21,20,41,44,89,155
Allergic Rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,4,1,1,4,5,4,15,27,18,22,30,46,69,93,157,249,340
Other Respiratory Diseases,194,34,28,43,52,74,107,175,271,332,665,1537,3358,5984,11648,23261,38800
Stomach and Duodenal Diseases,2,0,2,0,1,1,2,9,17,31,57,122,219,237,293,432,553
Liver and Gallbladder Diseases,19,3,2,7,8,20,86,229,457,829,1222,1840,2515,2731,3134,3777,3439
Dental Diseases,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,5
Other Digestive Diseases,114,20,8,5,22,28,50,88,125,218,279,568,936,1273,1991,3270,4722
Skin Disease,3,0,1,2,0,1,1,10,7,15,23,47,108,146,226,355,471
Arthritis,0,0,0,0,0,1,2,2,2,6,14,29,72,171,228,346,392
Arthropathy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,8,8
Other musculoskeletal Pain,0,1,0,0,0,0,1,2,0,4,2,9,18,28,36,66,95
Bone Density Abnormalities,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,7,9
Kidney Diseases,18,4,3,3,11,9,17,37,48,101,174,412,783,1278,2224,3968,6535
Benign Prostatic Hyperplasia,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,14,24
Fractures,23,21,23,106,152,123,136,185,184,152,167,228,309,304,358,482,685
Other Injuries,314,130,184,828,1863,2143,2505,3064,3093,3413,3772,4683,5681,5577,5799,7220,7888
Anemia and Blood Disorders,31,1,12,6,9,10,17,25,28,44,44,118,176,258,401,650,839
Cancer,100,107,116,150,217,372,760,1598,2779,4731,8690,17815,31925,39677,48049,60681,61822
Pregnancy and Childbirth,0,0,0,0,0,6,19,19,2,0,0,0,0,0,3,0,0
Other Conditions,2229,82,70,102,146,188,277,441,597,753,1097,1786,2783,3358,4196,6231,7898
Care Recipient,0,0,0,0,0,0,0,0,0,0,0,0,8,69,276,1021,3842
