start,end,Healthy ,Care ,Death 
0,4,0.775942397,0.194327348,0.029730254
5,9,0.762546303,0.224756099,0.012697598
10,14,0.802047321,0.183616167,0.014336512
15,19,0.848448267,0.148755131,0.002796602
20,24,0.817652492,0.150560485,0.031787023
25,29,0.777926273,0.17927832,0.042795407
30,34,0.758620768,0.205935942,0.03544329
35,39,0.74053125,0.222197111,0.037271639
40,44,0.698763727,0.263258685,0.037977589
45,49,0.628859967,0.318574769,0.052565263
50,54,0.558907493,0.378316602,0.062775906
55,59,0.470860487,0.439228006,0.089911507
60,64,0.348149988,0.480305237,0.171544775
65,69,0.249805095,0.507305779,0.242889126
70,74,0.159010708,0.524083058,0.316906233
75,79,0.082969514,0.478241906,0.43878858
80,84,0.040812633,0.376175758,0.583011608
