,0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84
SUM,1009.11059322,1178.7624277099999,997.9398003299999,821.40878493,939.15279202,1307.06413668,1736.29293739,1965.49125773,2048.37375586,2297.2842871000003,2907.41910634,4620.62591469,4585.64826009,4973.17434604,5109.190445099999,4582.5110694,3393.3055601
Diabetes,1.06,2.0,4.06,4.14,8.46,16.5989851641,29.991220504799998,63.735641466000004,96.26165164999999,152.840489586,265.143808875,565.678406704,638.1217182820001,735.506335864,693.4621532330001,542.310113082,340.967658606
Thyroid Disease,4.23,4.01,5.07,7.24,14.5,30.42,41.71,53.13,59.09,73.18,90.5,146.53675824759998,121.97,117.11,111.405519795,82.6030056541,58.4209910159
Other Metabolic Disorders,0.5494029276,2.6468290663,3.358268977,3.6611238598999996,7.5776412065,11.918985164099999,30.0012205048,60.7771282932,109.94694194159999,179.6726223965,336.31922060229994,706.1902747426999,777.8503905184999,846.2645390455001,808.82415836,628.5365310970001,306.03783828699994
Dementia,0.0,0.0,0.0,0.0,1.21,0.0,1.1,0.0,0.0,2.2263111982,2.3161470682,5.090824228,9.33148397,30.206324114,57.843984621,93.93536752,144.26144576
Parkinson's Disease,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.06,0.0,2.06,2.1630735340999996,11.4602747427,12.030468622199999,25.368167932,40.604554259000004,49.939130044,37.802523845
Depression,9.60761171,23.781948794999998,43.04855528,64.4337158,97.04857188,153.38896149,235.56163549,266.58934593,248.30930425000003,209.33592845,218.17682473000002,271.65549698,225.471632,229.21140907,227.04289377,187.09819262000002,152.21468833
Eye Diseases,37.05,92.7668290663,65.92,42.9811238599,35.3676412065,34.1489851641,59.450610252400004,66.0871282932,86.95388388319999,103.40262239649999,173.41922060230002,367.2505494855,488.980781037,737.809078091,975.843836514,937.950056541,664.454865239
Ear Diseases,98.6331343092,79.11,28.044134488399997,12.42,18.4476412065,16.5989851641,25.4206102524,21.4571282932,32.9269419416,37.2663111982,49.423073534100006,98.3002747427,114.0302343111,153.1872695227,188.9365593849,168.25450848109998,123.57198203189999
Hypertension,1.06,1.0,1.01,3.1,6.04,8.19,28.54,79.7,179.37,383.4,684.9430735341,1418.9735164952,1564.1401562074,1799.6272695227,1872.7020791798,1625.0535254430001,1108.343874223
Stroke,0.0,0.0,1.01,1.03,1.21,2.5589851640999997,4.931830757199999,11.665641466,15.672477475,25.996223965000002,47.128353092,120.263077331,169.48804468,239.09166757000003,290.91811735,291.85934529,227.95181066
Heart Disease,1.06,1.0,0.0,2.07,0.0,3.51,3.29,8.7071282932,18.5908258249,31.585244793,57.534588273000004,151.31813196099998,219.821952593,303.759054591,386.511831388,375.513638525,292.474595718
Other Cardiovascular Diseases,29.129402927599997,15.6668290663,11.8241344884,16.0811238599,10.305282413,13.526955492399999,15.911830757199999,22.285641466,25.354709708,44.2878671895,72.614588273,140.32489020900002,166.071952593,216.30996475,282.667029337,290.789706374,241.37522737
Acute Nasopharyngitis,249.724477401,96.42365813299999,37.52,19.66,17.2376412065,28.2989851641,42.9906102524,41.44,34.82,21.64,28.16,44.43,52.72,48.749089840900005,51.645519795000006,42.483005654100005,26.273964063799998
Allergic Rhinitis,76.22,244.33,204.87,85.88,74.93,83.07,105.37,120.08,125.56,120.59,119.66,173.68,144.71,162.76,151.47,107.7,53.82
Asthma,134.51761170999998,203.857316265,113.89826897699999,37.8111238599,28.1176412065,49.14,63.8406102524,78.8371282932,67.7469419416,67.1563111982,64.5130735341,90.9967582476,90.1501562074,116.3481796818,141.5365593849,132.59751413520002,91.66693711159999
Other Respiratory Diseases,45.174626348,40.284145331,20.252403465,10.524495438999999,12.468206033000001,15.353910984999999,25.053051261999997,31.199898053,32.734709708,30.8878671895,45.617661807000005,76.938406704,97.142186904,106.864503795,149.946385647,155.70583076,123.14459848999999
Stomach and Duodenal Diseases,2.12,2.0,2.03,9.31,19.34,30.42,39.6906102524,58.6471282932,69.0138838832,90.86631119820001,128.3222941365,217.8005494855,238.4004686222,270.6545390455,297.75415836,261.893525443,199.669910159
Liver and Gallbladder Diseases,1.06,0.0,1.01,2.07,6.04,9.578985164099999,15.550610252399999,33.7685131729,45.62165165,61.276800784,89.469955944,162.661648456,164.811796385,186.45815618199998,212.031113643,160.27959329200002,93.96576641499999
Dental Diseases,62.46,239.32,152.13,105.54,164.67764120650003,216.66898516409998,287.7406102524,320.91,316.54,299.92,411.27,578.61,597.45,650.04,512.1,393.85,198.46
Other Digestive Diseases,14.348208782999999,13.597316265,10.420672442,13.716743159,14.948770859,25.370866477,32.536102524,37.762667812000004,43.970245241,39.760979172,53.88225008,88.43950567499999,105.15273363,122.111773318,151.68150954200001,134.607683758,119.742434005
Skin Disease,313.7162686184,277.0168290663,188.2941344884,193.02112385989997,231.1476412065,273.04797032830004,262.68122050479997,235.46138487969998,157.6438838832,159.2189335947,173.5622941365,228.1340659807,215.060781037,222.61998825,242.867277129,200.001559368,138.452793367
Arthritis,0.0,0.0,1.01,3.0999999999999996,4.84,9.36,25.240000000000002,43.56,69.64,92.92631119820001,129.0161470682,209.4870329903,219.80046862220001,234.0636288864,209.646237539,191.518033924,123.54090117499999
Arthropathy,2.12,6.01,19.27,17.59,9.67,19.89,33.1106102524,34.2071282932,55.086941941599996,85.00893359470001,124.59844120470001,213.10082422800002,226.440781037,324.20725777300004,430.99903446400003,426.369593292,339.031802351
Other musculoskeletal Pain,0.0,3.0,26.014134488399996,71.4,133.24764120650002,280.2869554924,380.4824410096,479.225641466,517.034709708,540.526800784,634.183808875,985.271373714,943.861562074,1122.199066341,1358.0521532330001,1261.613118736,861.933604702
Bone Density Abnormalities,0.0,0.0,0.0,2.07,1.21,2.34,2.2,4.25,3.17,9.28,16.09,60.59,112.7800781037,206.5490898409,310.3910395899,367.6930056541,308.70297304779996
Kidney Diseases,9.896268618399999,6.6568290663,6.7541344884,14.0111238599,13.29,16.8179703283,17.921220504799997,31.6485131729,28.297767766499998,45.484178388000004,57.993808875,97.488681447,88.872186904,113.695413955,129.147029337,133.338203547,98.411353148
Benign Prostatic Hyperplasia,0.0,0.0,0.0,0.0,0.0,1.17,2.2,1.06,3.17,8.25,18.1,58.686758247600004,106.6901562074,175.1463593636,272.64759897479996,279.2360113082,198.9439640638
Fractures,4.23,19.313658133,37.136537954,34.498990879000004,15.513488445999998,18.863910985,18.266102524,26.718411226,24.763303299,23.968356775,28.895323614,43.233022170000005,49.662967941,66.256312364,89.909504416,92.35583076,84.90360747
Other Injuries,10.2625372368,34.980487199,92.916537954,80.590114739,33.704053272,38.678836806,52.657323029000004,54.969796105,43.753303298999995,40.458356775000006,49.862250079999995,59.819230931999996,54.172499318999996,49.066324114,52.922870978,46.559649832999995,29.357568765
Anemia and Blood Disorders,4.7794029276000005,4.293658133,8.7741344884,11.941123859900001,11.1976412065,13.088985164099999,24.3306102524,32.087128293199996,50.8669419416,66.1263111982,45.4030735341,33.5535164952,41.6802343111,46.126359363599995,74.94311876969999,84.3920226163,69.478919144
Cancer,1.6094029276000001,2.587316265,3.0024034650000004,2.15224772,5.1476412065,2.5589851640999997,11.505492272000001,17.572667812000002,29.224954949,47.716136731999995,69.667485581,99.06450620999999,99.4926528,104.20796818,111.97883508999999,103.72264457,69.41450865
Pregnancy and Childbirth,0.0,0.0,0.0,3.7533715799999996,31.158106543000002,105.20621369999999,110.14210742,56.105131729,8.908593590999999,0.1663111982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Conditions,130.56223677,115.548777861,146.591344884,119.431238599,137.129900511,173.591732955,241.414646058,277.415335624,238.85520019,260.787779956,258.155279558,307.493571656,224.413748978,186.023570136,186.885024211,173.30224878,132.010272292
Care Recipient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.2,128.2,128.2,128.2,128.2,337.0,526.0,785.0,941.0
Cumulative births,5479.353,5895.88,6011.894,6214.627,7159.648,7972.959,9611.129,9735.548,8496.6,8093.586,8600.303,11858.62,10780.6055,10456.704,10638.443,10583.505,10293.05
Alive,5379.0,5823.0,5936.0,6202.0,7024.0,7555.0,9157.0,9236.0,8066.0,7619.0,7962.0,10359.0,8419.0,7797.0,6893.0,5545.0,3851.0
