,0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74
Diabetes,-1.86E-05,-1.86E-05,-1.86E-05,-1.86E-05,0.001383667,0.001383667,0.001383667,0.001383667,0.001383667,0.001383667,0.001383667,0.006414889,0.006414889,0.006414889,0.006414889
Thyroid Disease,5.46E-05,5.46E-05,5.46E-05,5.46E-05,0.000743744,0.000743744,0.000743744,0.000743744,0.000743744,0.000743744,0.000743744,0.000595543,0.000595543,0.000595543,0.000595543
Other Metabolic Disorders,-0.000169262,-0.000169262,-0.000169262,-0.000169262,0.00208959,0.00208959,0.00208959,0.00208959,0.00208959,0.00208959,0.00208959,0.008764261,0.008764261,0.008764261,0.008764261
Dementia,1.53E-05,1.53E-05,1.53E-05,1.53E-05,-5.06E-05,-5.06E-05,-5.06E-05,-5.06E-05,-5.06E-05,-5.06E-05,-5.06E-05,0.000156539,0.000156539,0.000156539,0.000156539
Parkinson's Disease,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.00025,0.00025,0.00025
Depression,0.001435572,0.001435572,0.001435572,0.001435572,0.002249779,0.002249779,0.002249779,0.002249779,0.002249779,0.002249779,0.002249779,0.000136936,0.000136936,0.000136936,0.000136936
Eye Diseases,-0.000214841,-0.000214841,-0.000214841,-0.000214841,0.001001297,0.001001297,0.001001297,0.001001297,0.001001297,0.001001297,0.001001297,0.005971408,0.005971408,0.005971408,0.005971408
Ear Diseases,-0.000551676,-0.000551676,-0.000551676,-0.000551676,5.96E-05,5.96E-05,5.96E-05,5.96E-05,5.96E-05,5.96E-05,5.96E-05,0.000524541,0.000524541,0.000524541,0.000524541
Hypertension,-0.000107583,-0.000107583,-0.000107583,-0.000107583,0.002837725,0.002837725,0.002837725,0.002837725,0.002837725,0.002837725,0.002837725,0.016798826,0.016798826,0.016798826,0.016798826
Stroke,2.97E-05,2.97E-05,2.97E-05,2.97E-05,0.000127505,0.000127505,0.000127505,0.000127505,0.000127505,0.000127505,0.000127505,0.001230517,0.001230517,0.001230517,0.001230517
Heart Disease,3.96E-05,3.96E-05,3.96E-05,3.96E-05,0.000152746,0.000152746,0.000152746,0.000152746,0.000152746,0.000152746,0.000152746,0.001810903,0.001810903,0.001810903,0.001810903
Other Cardiovascular Diseases,-7.26E-05,-7.26E-05,-7.26E-05,-7.26E-05,0.000225456,0.000225456,0.000225456,0.000225456,0.000225456,0.000225456,0.000225456,0.001008737,0.001008737,0.001008737,0.001008737
Acute Nasopharyngitis,-0.00167395,-0.00167395,-0.00167395,-0.00167395,0.000203963,0.000203963,0.000203963,0.000203963,0.000203963,0.000203963,0.000203963,0.000121523,0.000121523,0.000121523,0.000121523
Allergic Rhinitis,0.000943492,0.000943492,0.000943492,0.000943492,0.000913409,0.000913409,0.000913409,0.000913409,0.000913409,0.000913409,0.000913409,0.001706123,0.001706123,0.001706123,0.001706123
Asthma,-0.000724323,-0.000724323,-0.000724323,-0.000724323,0.000600945,0.000600945,0.000600945,0.000600945,0.000600945,0.000600945,0.000600945,0.000805986,0.000805986,0.000805986,0.000805986
Other Respiratory Diseases,-0.000475966,-0.000475966,-0.000475966,-0.000475966,0.000205519,0.000205519,0.000205519,0.000205519,0.000205519,0.000205519,0.000205519,0.001356612,0.001356612,0.001356612,0.001356612
Stomach and Duodenal Diseases,2.02E-05,2.02E-05,2.02E-05,2.02E-05,-0.000110264,-0.000110264,-0.000110264,-0.000110264,-0.000110264,-0.000110264,-0.000110264,0.000172329,0.000172329,0.000172329,0.000172329
Liver and Gallbladder Diseases,-0.000108145,-0.000108145,-0.000108145,-0.000108145,0.000250115,0.000250115,0.000250115,0.000250115,0.000250115,0.000250115,0.000250115,0.000274277,0.000274277,0.000274277,0.000274277
Dental Diseases,-5.47E-05,-5.47E-05,-5.47E-05,-5.47E-05,0.000698535,0.000698535,0.000698535,0.000698535,0.000698535,0.000698535,0.000698535,0.00261276,0.00261276,0.00261276,0.00261276
Other Digestive Diseases,-5.98E-05,-5.98E-05,-5.98E-05,-5.98E-05,0.000495919,0.000495919,0.000495919,0.000495919,0.000495919,0.000495919,0.000495919,0.000733151,0.000733151,0.000733151,0.000733151
Skin Disease,-0.000989664,-0.000989664,-0.000989664,-0.000989664,0.000898711,0.000898711,0.000898711,0.000898711,0.000898711,0.000898711,0.000898711,0.000673867,0.000673867,0.000673867,0.000673867
Arthritis,-7.20E-05,-7.20E-05,-7.20E-05,-7.20E-05,0.000806131,0.000806131,0.000806131,0.000806131,0.000806131,0.000806131,0.000806131,0.002044838,0.002044838,0.002044838,0.002044838
Arthropathy,3.29E-05,3.29E-05,3.29E-05,3.29E-05,0.000550822,0.000550822,0.000550822,0.000550822,0.000550822,0.000550822,0.000550822,0.001551137,0.001551137,0.001551137,0.001551137
Other musculoskeletal Pain,9.12E-05,9.12E-05,9.12E-05,9.12E-05,0.000879471,0.000879471,0.000879471,0.000879471,0.000879471,0.000879471,0.000879471,0.000499224,0.000499224,0.000499224,0.000499224
Bone Density Abnormalities,-1.92E-05,-1.92E-05,-1.92E-05,-1.92E-05,2.54E-05,2.54E-05,2.54E-05,2.54E-05,2.54E-05,2.54E-05,2.54E-05,0.002264022,0.002264022,0.002264022,0.002264022
Kidney Diseases,0.000107981,0.000107981,0.000107981,0.000107981,1.59E-04,1.59E-04,1.59E-04,1.59E-04,1.59E-04,1.59E-04,1.59E-04,0.00112383,0.00112383,0.00112383,0.00112383
Benign Prostatic Hyperplasia,3.55E-05,3.55E-05,3.55E-05,3.55E-05,2.08E-05,2.08E-05,2.08E-05,2.08E-05,2.08E-05,2.08E-05,2.08E-05,0.001641064,0.001641064,0.001641064,0.001641064
Fractures,9.61E-05,9.61E-05,9.61E-05,9.61E-05,4.40E-05,4.40E-05,4.40E-05,4.40E-05,4.40E-05,4.40E-05,4.40E-05,0.000232403,0.000232403,0.000232403,0.000232403
Other Injuries,8.52E-05,8.52E-05,8.52E-05,8.52E-05,-5.56E-05,-5.56E-05,-5.56E-05,-5.56E-05,-5.56E-05,-5.56E-05,-5.56E-05,0.000531007,0.000531007,0.000531007,0.000531007
Anemia and Blood Disorders,-3.38E-05,-3.38E-05,-3.38E-05,-3.38E-05,0.000172004,0.000172004,0.000172004,0.000172004,0.000172004,0.000172004,0.000172004,5.09E-05,5.09E-05,5.09E-05,5.09E-05
Cancer,4.43E-06,4.43E-06,4.43E-06,4.43E-06,0.000363744,0.000363744,0.000363744,0.000363744,0.000363744,0.000363744,0.000363744,0.002893002,0.002893002,0.002893002,0.002893002
Pregnancy and Childbirth,4.95E-05,4.95E-05,4.95E-05,4.95E-05,-0.000132912,-0.000132912,-0.000132912,-0.000132912,-0.000132912,-0.000132912,-0.000132912,-1.04E-05,-1.04E-05,-1.04E-05,-1.04E-05
Other Conditions,0.000787163,0.000787163,0.000787163,0.000787163,0.002188887,0.002188887,0.002188887,0.002188887,0.002188887,0.002188887,0.002188887,0.000402178,0.000402178,0.000402178,0.000402178
