start,end,Healthy ,Care ,Death 
0,4,0.8064195458898874,0.1634975234792938,0.030082930630818794
5,9,0.8067885539424747,0.17246884690539085,0.020742599152134417
10,14,0.827173565345277,0.15672495276574455,0.016101481888978475
15,19,0.8663648870241504,0.1250939654922456,0.008541147483604017
20,24,0.8251229062409908,0.15421637331542876,0.020660720443580416
25,29,0.7864985266828557,0.1783374526639968,0.0351640206531475
30,34,0.7595064701320877,0.20371683690119224,0.03677669296672004
35,39,0.7387621013035824,0.22425240882832936,0.036985489868088195
40,44,0.7091520435162,0.25330279183112187,0.037545164652678154
45,49,0.656135002262892,0.2980850106803555,0.045779987056752514
50,54,0.5902489778966173,0.35336226420905154,0.05638875789433112
55,59,0.474717475905423,0.4386952987645714,0.08658722533000557
60,64,0.36419622243396255,0.4857987147962734,0.15000506276976405
65,69,0.28081396861895935,0.5070724237559115,0.2121136076251291
70,74,0.19462120892435594,0.5201167497276316,0.2852620413480125
